"","Taxa","INC","COLD","plate_num","date","viable","DAY","END","germination","mold","adj_total","force","germ_perc"
"195","Polygonum virginiatum","H","B",389,2018-01-01,17,-Inf,0,0,3,17,25,0
"196","Polygonum virginiatum","H","B",390,2018-01-01,19,-Inf,0,0,0,20,25,0
"197","Carex grisea","L","B",431,2018-01-01,19,-Inf,0,0,1,19,20,0
"198","Carex grisea","L","B",432,2018-01-01,20,-Inf,0,0,0,20,20,0
"199","Carex grisea","H","B",433,2018-01-01,0,-Inf,0,0,0,0,25,NA
"200","Carex grisea","H","B",434,2018-01-01,18,-Inf,0,0,0,19,25,0
"201","Silene vulgaris","L","B",472,2018-01-01,1,-Inf,0,0,0,16,20,0
"202","Silene vulgaris","L","B",473,2018-01-01,2,-Inf,0,0,0,19,20,0
"203","Silene vulgaris","H","B",474,2018-01-01,2,-Inf,0,0,0,18,25,0
"204","Silene vulgaris","L","B",475,2018-01-01,0,-Inf,0,0,0,19,20,0
"205","Silene vulgaris","H","B",476,2018-01-01,4,-Inf,0,0,0,21,25,0
"206","Silene vulgaris","H","B",477,2018-01-01,2,-Inf,0,0,0,18,25,0
"207","Silene stellata","L","B",526,2018-01-01,15,-Inf,0,0,0,19,20,0
"208","Silene stellata","L","B",527,2018-01-01,15,-Inf,0,0,0,19,20,0
"209","Silene stellata","L","B",528,2018-01-01,17,-Inf,0,0,0,19,20,0
"210","Silene stellata","H","B",529,2018-01-01,17,-Inf,0,0,0,18,25,0
"211","Silene stellata","H","B",530,2018-01-01,14,-Inf,0,0,0,18,25,0
"212","Silene stellata","H","B",531,2018-01-01,0,-Inf,0,0,0,1,25,0
"213","Anemone virginana","L","B",580,2018-01-01,2,-Inf,0,0,1,20,20,0
"214","Anemone virginana","L","B",581,2018-01-01,7,-Inf,0,0,0,20,20,0
"215","Anemone virginana","L","B",582,2018-01-01,2,-Inf,0,0,1,18,20,0
"216","Anemone virginana","H","B",583,2018-01-01,5,-Inf,0,0,0,21,25,0
"217","Anemone virginana","H","B",584,2018-01-01,4,-Inf,0,0,0,19,25,0
"218","Anemone virginana","H","B",585,2018-01-01,0,-Inf,0,0,0,20,25,0
"219","Thalictrum dioicum","L","B",634,2018-01-01,8,-Inf,0,0,7,12,20,0
"220","Thalictrum dioicum","L","B",635,2018-01-01,8,-Inf,0,0,6,12,20,0
"221","Thalictrum dioicum","L","B",636,2018-01-01,7,-Inf,0,0,6,9,20,0
"222","Thalictrum dioicum","H","B",637,2018-01-01,9,-Inf,0,0,3,12,25,0
"223","Thalictrum dioicum","H","B",638,2018-01-01,3,-Inf,0,0,11,4,25,0
"224","Thalictrum dioicum","H","B",639,2018-01-01,4,-Inf,0,0,8,7,25,0
"225","Impatiens capensis","L","B",680,2018-01-01,0,-Inf,0,0,10,10,20,0
"226","Impatiens capensis","L","B",681,2018-01-01,2,-Inf,0,0,7,10,20,0
"227","Impatiens capensis","H","B",682,2018-01-01,1,-Inf,0,0,9,10,25,0
"228","Impatiens capensis","L","B",683,2018-01-01,2,-Inf,0,0,0,10,20,0
"229","Phlox cuspidata","L","B",716,2018-01-01,2,-Inf,0,0,0,11,20,0
"230","Phlox cuspidata","L","B",717,2018-01-01,3,-Inf,0,0,0,10,20,0
"231","Phlox cuspidata","H","B",718,2018-01-01,4,-Inf,0,0,0,14,25,0
"232","Phlox cuspidata","H","B",719,2018-01-01,2,-Inf,0,0,0,11,25,0
"233","Oenethera biennis","L","C",97,2018-01-01,2,-Inf,0,0,5,13,20,0
"234","Oenethera biennis","L","C",98,2018-01-01,0,-Inf,0,0,6,14,20,0
"235","Oenethera biennis","L","C",99,2018-01-01,1,-Inf,0,0,2,17,20,0
"236","Oenethera biennis","H","C",100,2018-01-01,1,-Inf,0,0,0,12,25,0
"237","Oenethera biennis","H","C",101,2018-01-01,2,-Inf,0,0,0,16,25,0
"238","Oenethera biennis","H","C",102,2018-01-01,1,-Inf,0,0,3,14,25,0
"239","Asclepias syriaca","L","C",145,2018-01-01,0,-Inf,0,0,0,21,20,0
"240","Asclepias syriaca","L","C",146,2018-01-01,2,-Inf,0,0,0,20,20,0
"241","Asclepias syriaca","L","C",147,2018-01-01,1,-Inf,0,0,1,19,20,0
"242","Asclepias syriaca","H","C",148,2018-01-01,1,-Inf,0,0,3,17,25,0
"243","Asclepias syriaca","H","C",149,2018-01-01,0,-Inf,0,0,0,20,25,0
