zero_day,tot_seed,Taxa,INC,COLD,Plate_num,10/10/18,10/12/18,10/14/18,10/15/18,10/17/18,10/19/18,10/21/18,10/22/18,10/24/18,viable,chill_germ,mold,adj_total
10/8/18,,Silene vulgaris,L,D,487,,5,13,14,16,16,16,16,17,,,,
10/8/18,,Silene vulgaris,L,D,488,,8,11,11,12,14,14,14,14,,,,
10/8/18,,Silene vulgaris,L,D,489,,6,12,13,13,14,14,14,14,,,,
10/8/18,,Silene stellata,H,D,538,,2,2,2,2,2,2,2,2,,,,
10/8/18,,Silene stellata,H,D,539,,1,1,1,1,1,1,1,1,,,,
10/8/18,,Silene stellata,H,D,540,3,4,4,4,4,4,4,4,4,,,,
10/8/18,,Silene stellata,L,D,541,2,4,5,5,6,7,7,7,7,,,,
10/8/18,,Silene stellata,L,D,542,,,,,,,,,,,,,
10/8/18,,Silene stellata,L,D,543,1,3,5,6,7,8,8,8,8,,,,
10/8/18,,Anemone virginana,H,D,592,,,,,2,8,16,17,18,,,,
10/8/18,,Anemone virginana,H,D,593,,,,,,1,3,4,13,,,,
10/8/18,,Anemone virginana,H,D,594,,,,1,4,5,10,11,13,,,,
10/8/18,,Anemone virginana,L,D,595,,,,,,5,7,9,15,,,,
10/8/18,,Anemone virginana,L,D,596,,,,,,,,1,4,,,,
10/8/18,,Anemone virginana,L,D,597,,,,,1,1,3,5,9,,,,
10/8/18,,Thalictrum dioicum,H,D,646,,,,,,1,1,1,1,,,,
10/8/18,,Thalictrum dioicum,H,D,647,,,,,1,1,1,1,1,,,,
10/8/18,,Thalictrum dioicum,H,D,648,,,,,,,1,1,1,,,,
10/8/18,,Thalictrum dioicum,L,D,649,,,,,,1,1,1,1,,,,
10/8/18,,Thalictrum dioicum,L,D,650,,,,,1,1,2,4,5,,,,
10/8/18,,Thalictrum dioicum,L,D,651,,,,,,1,1,1,1,,,,
10/8/18,,Impatiens capensis,H,D,688,,,,,,,,,,,,,
10/8/18,,Impatiens capensis,H,D,689,,,,,,,,,,,,,
10/8/18,,Impatiens capensis,L,D,690,,,,,,,,,,,,,
10/8/18,,Impatiens capensis,L,D,691,,,,,,,,,,,,,
10/8/18,,Phlox cuspidata,H,D,724,,,,,,,,,,,7,,
10/8/18,,Phlox cuspidata,H,D,725,,,,,1,1,1,1,1,,8,,
10/8/18,,Phlox cuspidata,L,D,726,2,2,2,2,2,2,2,2,2,,5,,
10/8/18,,Phlox cuspidata,L,D,727,,,,,,,,,,,10,,
