,chill_time,force,scenario,Estimate,Est.Error,Q2.5,Q97.5,Taxa,germination,fresh,germinated,seedbank
63,58.56417196,0,ambient,0.87717801,0.021980836,0.830020036,0.915793765,P.virginiatum,>80%,102.6855738,90.07352726,12.61204655
64,48.83171096,0,ambient,0.739621072,0.028608372,0.681460251,0.793237062,P.virginiatum,50-80%,112.6120465,83.29024261,29.32180394
65,89.29963386,0,ambient,0.992059527,0.003596482,0.983339816,0.997125928,P.virginiatum,>80%,129.3218039,128.2949277,1.026876289
66,81.96663842,0,ambient,0.984502404,0.005962945,0.970310599,0.99336121,P.virginiatum,>80%,101.0268763,99.46120259,1.565673702
67,32.19547134,0,ambient,0.36783824,0.035437511,0.298194185,0.43804085,P.virginiatum,20-50%,101.5656737,37.35973871,64.20593499
68,13.3354429,0,ambient,0.089509933,0.022711809,0.050146609,0.140518783,P.virginiatum,<20%,164.205935,14.69806225,149.5078727
69,83.41726547,0,ambient,0.986420973,0.005406145,0.973466206,0.994395884,P.virginiatum,>80%,249.5078727,246.1197985,3.388074243
70,64.64497503,0,ambient,0.926764355,0.016831817,0.890337595,0.955001939,P.virginiatum,>80%,103.3880742,95.81638194,7.571692306
71,52.29313288,0,ambient,0.797827138,0.026657695,0.742799743,0.847029944,P.virginiatum,50-80%,107.5716923,85.82361544,21.74807686
72,104.5300667,0,ambient,0.998015369,0.001192659,0.994937903,0.999491012,P.virginiatum,>80%,121.7480769,121.5064519,0.241625008
73,68.06749455,0,ambient,0.945763754,0.014081137,0.914489432,0.969062539,P.virginiatum,>80%,100.241625,94.8048956,5.436729409
74,109.8472277,0,ambient,0.998773796,0.000803544,0.996659152,0.999724683,P.virginiatum,>80%,105.4367294,105.3074425,0.129286936
75,48.0091224,0,ambient,0.724271149,0.029007361,0.665532044,0.778767624,P.virginiatum,50-80%,100.1292869,72.52075372,27.60853322
76,122.4382973,0,ambient,0.999605158,0.000312415,0.998755743,0.999934532,P.virginiatum,>80%,127.6085332,127.558148,0.050385224
77,110.7752844,0,ambient,0.998872444,0.00074979,0.996898825,0.999752323,P.virginiatum,>80%,100.0503852,99.93757282,0.112812402
78,52.54123526,0,ambient,0.801595994,0.02649921,0.746936905,0.850407324,P.virginiatum,>80%,100.1128124,80.25002939,19.86278302
79,53.01458914,0,ambient,0.808637247,0.02618982,0.754713552,0.856746103,P.virginiatum,>80%,119.862783,96.92551087,22.93727215
80,80.23551182,0,ambient,0.981857973,0.006692558,0.96599448,0.991957376,P.virginiatum,>80%,122.9372721,120.7069408,2.230331327
81,67.01859667,0,ambient,0.940502576,0.014900107,0.907564918,0.96523652,P.virginiatum,>80%,102.2303313,96.14789001,6.082441321
82,68.59462918,0,ambient,0.94823768,0.013678911,0.917698635,0.970786295,P.virginiatum,>80%,106.0824413,100.5913681,5.491073255
83,94.35933042,0,ambient,0.994994751,0.002507676,0.988841171,0.998386231,P.virginiatum,>80%,105.4910733,104.9630642,0.52800905
84,92.40492447,0,ambient,0.994018399,0.002885072,0.986951117,0.997977467,P.virginiatum,>80%,100.528009,99.92669062,0.601318426
85,86.87768773,0,ambient,0.990095857,0.00426111,0.979797547,0.996219283,P.virginiatum,>80%,100.6013184,99.60494856,0.99636987
86,80.46779395,0,ambient,0.982237237,0.006590386,0.966607982,0.992167396,P.virginiatum,>80%,100.9963699,99.20239526,1.793974608
87,70.90245421,0,ambient,0.957852615,0.01199904,0.930717537,0.97731329,P.virginiatum,>80%,101.7939746,97.50362473,4.290349881
88,80.03705529,0,ambient,0.981527594,0.006780924,0.96550483,0.991784845,P.virginiatum,>80%,104.2903499,102.3638562,1.926493657
89,79.9596604,0,ambient,0.981397144,0.006815654,0.965312135,0.991716539,P.virginiatum,>80%,101.9264937,100.0303697,1.896123908
90,88.29296131,0,ambient,0.991295634,0.003860159,0.981947803,0.996786782,P.virginiatum,>80%,101.8961239,101.0091827,0.886941204
91,15.80858274,0,ambient,0.110238537,0.025413011,0.065160231,0.166530777,P.virginiatum,<20%,100.8869412,11.12162884,89.76531236
92,22.21766462,0,ambient,0.184480316,0.031825978,0.124453537,0.251259428,P.virginiatum,<20%,189.7653124,35.0079647,154.7573477
93,55.52964163,0,ambient,0.842816364,0.024400446,0.791619798,0.886536178,P.virginiatum,>80%,254.7573477,214.7136614,40.04368621
94,53.67660368,0,ambient,0.818157982,0.025741949,0.764605096,0.865149947,P.virginiatum,>80%,140.0436862,114.5778597,25.46582653
95,123.7453211,0,ambient,0.999648766,0.000283098,0.998876739,0.999943597,P.virginiatum,>80%,125.4658265,125.4217586,0.044067914
96,78.74752844,0,ambient,0.979231096,0.007379631,0.962020518,0.990520423,P.virginiatum,>80%,100.0440679,97.96626232,2.077805596
97,109.8725256,0,ambient,0.998776597,0.00080203,0.996666024,0.999725475,P.virginiatum,>80%,102.0778056,101.9529233,0.124882286
98,48.08113514,0,ambient,0.725637446,0.02897325,0.666854937,0.780121209,P.virginiatum,50-80%,100.1248823,72.65436389,27.47051839
99,72.85568242,0,ambient,0.964622278,0.010688295,0.940410625,0.98170296,P.virginiatum,>80%,127.4705184,122.9609018,4.509616599
100,104.7214682,0,ambient,0.998049526,0.001175896,0.995016232,0.999501855,P.virginiatum,>80%,104.5096166,104.3057734,0.203843241
101,75.82183358,1,warming,0.973896944,0.010707086,0.948590918,0.989320398,P.virginiatum,>80%,100,97.38969436,2.610305642
102,29.65971376,1,warming,0.093011358,0.021806107,0.054882538,0.139776527,P.virginiatum,<20%,102.6103056,9.543923913,93.06638173
103,72.14514885,1,warming,0.959278906,0.014551695,0.925888242,0.981327853,P.virginiatum,>80%,193.0663817,185.2045075,7.86187423
104,29.49402187,1,warming,0.091250742,0.021587728,0.053531182,0.137571077,P.virginiatum,<20%,107.8618742,9.84247603,98.0193982
105,44.86620461,1,warming,0.419431565,0.034717273,0.351561998,0.487043703,P.virginiatum,20-50%,198.0193982,83.05558617,114.963812
106,36.88050406,1,warming,0.205035163,0.030394553,0.148695047,0.267091716,P.virginiatum,20-50%,214.963812,44.07514018,170.8886718
107,29.46297296,1,warming,0.09092422,0.021546824,0.053295267,0.137161068,P.virginiatum,<20%,270.8886718,24.63034129,246.2583306
108,106.9820134,1,warming,0.999408209,0.000546108,0.998014701,0.999921289,P.virginiatum,>80%,346.2583306,346.053418,0.20491255
109,46.71504249,1,warming,0.478553075,0.035355727,0.409818469,0.54680409,P.virginiatum,20-50%,100.2049126,47.953369,52.25154355
110,55.65372615,1,warming,0.744163388,0.035739439,0.670777848,0.809951904,P.virginiatum,50-80%,152.2515436,113.3000244,38.95151914
111,38.09507337,1,warming,0.231645203,0.031426418,0.172315788,0.294900456,P.virginiatum,20-50%,138.9515191,32.18745284,106.7640663
112,82.33958373,1,warming,0.988215924,0.005967056,0.973707607,0.99617649,P.virginiatum,>80%,206.7640663,204.3275429,2.436523391
113,56.30406679,1,warming,0.759728715,0.035303873,0.686694083,0.824221732,P.virginiatum,50-80%,102.4365234,77.82396825,24.61255514
114,25.79199891,1,warming,0.059106808,0.01685613,0.030942722,0.095952237,P.virginiatum,<20%,124.6125551,7.365450382,117.2471048
115,45.11776571,1,warming,0.427378122,0.03480253,0.359696717,0.4952227,P.virginiatum,20-50%,217.2471048,92.84665968,124.4004451
116,26.73104891,1,warming,0.066066645,0.018015828,0.035570564,0.105234656,P.virginiatum,<20%,224.4004451,14.82538464,209.5750604
117,49.82307321,1,warming,0.578406783,0.03639218,0.504678464,0.649454497,P.virginiatum,50-80%,309.5750604,179.0603147,130.5147458
118,26.63176715,1,warming,0.065295794,0.017891545,0.035037951,0.104220016,P.virginiatum,<20%,230.5147458,15.05164346,215.4631023
119,50.55799332,1,warming,0.601378314,0.036569656,0.526749805,0.672826122,P.virginiatum,50-80%,315.4631023,189.7126685,125.7504338
120,32.02703656,1,warming,0.12173445,0.024904023,0.076956996,0.174510727,P.virginiatum,<20%,225.7504338,27.48160501,198.2688288
121,50.3753637,1,warming,0.595708424,0.03652999,0.521327748,0.667145867,P.virginiatum,50-80%,298.2688288,177.681254,120.5875749
