year,imput_new,germ_perc,seedbank,scenario,species
3,102.1904097,0.999945775,0.005541319,ambient,C.canadensis
4,100.0055413,0.903615865,9.638947578,ambient,C.canadensis
5,109.6389476,0.982172568,1.954580895,ambient,C.canadensis
6,101.9545809,0.998435217,0.159536802,ambient,C.canadensis
7,100.1595368,0.998035168,0.196796701,ambient,C.canadensis
8,100.1967967,0.97712182,2.292320312,ambient,C.canadensis
9,102.2923203,0.996717874,0.335736249,ambient,C.canadensis
10,100.3357362,0.998256262,0.174959233,ambient,C.canadensis
11,100.1749592,0.99444664,0.556307647,ambient,C.canadensis
12,100.5563076,0.992715217,0.732530844,ambient,C.canadensis
13,100.7325308,0.997651401,0.236580313,ambient,C.canadensis
14,100.2365803,0.990297466,0.97254884,ambient,C.canadensis
15,100.9725488,0.999247311,0.076000962,ambient,C.canadensis
16,100.076001,0.999775341,0.022482941,ambient,C.canadensis
17,100.0224829,0.999987382,0.00126211,ambient,C.canadensis
18,100.0012621,0.998745294,0.125472198,ambient,C.canadensis
19,100.1254722,0.734840672,26.54920296,ambient,C.canadensis
20,126.549203,0.598714617,50.78234538,ambient,C.canadensis
21,150.7823454,0.999601342,0.060110619,ambient,C.canadensis
22,100.0601106,0.995068836,0.493412826,ambient,C.canadensis
23,100.4934128,0.999989812,0.00102386,ambient,C.canadensis
24,100.0010239,0.921270719,7.873008731,ambient,C.canadensis
25,107.8730087,0.999663733,0.0362741,ambient,C.canadensis
26,100.0362741,0.994663474,0.533846135,ambient,C.canadensis
27,100.5338461,0.061318017,94.36931002,ambient,C.canadensis
28,194.36931,0.963608955,7.073302388,ambient,C.canadensis
29,107.0733024,0.276244436,77.49489834,ambient,C.canadensis
30,177.4948983,0.998829571,0.207745187,ambient,C.canadensis
31,100.2077452,0.999832353,0.016799483,ambient,C.canadensis
32,100.0167995,0.701401489,29.86486738,ambient,C.canadensis
33,129.8648674,0.971066707,3.757418322,ambient,C.canadensis
34,103.7574183,0.998093712,0.197791482,ambient,C.canadensis
35,100.1977915,0.999858028,0.014225261,ambient,C.canadensis
36,100.0142253,0.037642975,96.24939228,ambient,C.canadensis
37,196.2493923,0.999301852,0.137011167,ambient,C.canadensis
38,100.1370112,0.903681463,9.645050436,ambient,C.canadensis
39,109.6450504,0.99277844,0.791808295,ambient,C.canadensis
40,100.7918083,0.999974416,0.00257862,ambient,C.canadensis
41,100.0025786,0.997031406,0.296867087,ambient,C.canadensis
42,100.2968671,0.978162645,2.190218312,ambient,C.canadensis
43,102.1902183,0.999185949,0.083188071,ambient,C.canadensis
44,100.0831881,0.99776804,0.223381628,ambient,C.canadensis
45,100.2233816,0.961947427,3.813757518,ambient,C.canadensis
46,103.8137575,0.988357365,1.208665667,ambient,C.canadensis
47,101.2086657,0.998093611,0.192943064,ambient,C.canadensis
48,100.1929431,0.757598289,24.28694088,ambient,C.canadensis
49,124.2869409,0.955065064,5.58482573,ambient,C.canadensis
50,105.5848257,0.999855896,0.015215161,ambient,C.canadensis
51,100.0152152,0.998284931,0.17153297,ambient,C.canadensis
52,100.171533,0.999983439,0.001658933,ambient,C.canadensis
53,100.0016589,0.998610867,0.138915625,ambient,C.canadensis
54,100.1389156,0.999949894,0.005017548,ambient,C.canadensis
55,100.0050175,0.999997984,0.000201568,ambient,C.canadensis
56,100.0002016,0.999763592,0.023640882,ambient,C.canadensis
57,100.0236409,0.999014849,0.09853844,ambient,C.canadensis
58,100.0985384,0.99999943,5.71E-05,ambient,C.canadensis
59,100.0000571,0.988506107,1.14938998,ambient,C.canadensis
60,101.14939,0.994625872,0.543589752,ambient,C.canadensis
61,100.5435898,0.978212306,2.190612949,ambient,C.canadensis
62,102.1906129,0.9972987,0.276047484,ambient,C.canadensis
63,100.2760475,0.978030293,2.203035402,ambient,C.canadensis
64,102.2030354,0.935748282,6.566720592,ambient,C.canadensis
65,106.5667206,0.999295987,0.075024347,ambient,C.canadensis
66,100.0750243,0.998408061,0.159313304,ambient,C.canadensis
67,100.1593133,0.678154364,32.23583788,ambient,C.canadensis
68,132.2358379,0.190168833,107.0887029,ambient,C.canadensis
69,207.0887029,0.99864589,0.28042087,ambient,C.canadensis
70,100.2804209,0.98889087,1.114028182,ambient,C.canadensis
71,101.1140282,0.955938761,4.455209354,ambient,C.canadensis
72,104.4552094,0.99986837,0.013749428,ambient,C.canadensis
73,100.0137494,0.992438609,0.756243019,ambient,C.canadensis
74,100.756243,0.999926249,0.007430878,ambient,C.canadensis
75,100.0074309,0.929800124,7.020509281,ambient,C.canadensis
76,107.0205093,0.999981042,0.002028877,ambient,C.canadensis
77,100.0020289,0.999933319,0.006668237,ambient,C.canadensis
78,100.0066682,0.957124425,4.287843367,ambient,C.canadensis
79,104.2878434,0.959301775,4.244330114,ambient,C.canadensis
80,104.2443301,0.998068511,0.201346756,ambient,C.canadensis
81,100.2013468,0.991492317,0.852481282,ambient,C.canadensis
82,100.8524813,0.992873653,0.718709737,ambient,C.canadensis
83,100.7187097,0.999597793,0.040509751,ambient,C.canadensis
84,100.0405098,0.999500856,0.0499346,ambient,C.canadensis
85,100.0499346,0.999078777,0.09216828,ambient,C.canadensis
86,100.0921683,0.998118002,0.188373288,ambient,C.canadensis
87,100.1883733,0.994501712,0.550864556,ambient,C.canadensis
88,100.5508646,0.998025191,0.19856876,ambient,C.canadensis
89,100.1985688,0.998008033,0.199592264,ambient,C.canadensis
90,100.1995923,0.99921279,0.078878106,ambient,C.canadensis
91,100.0788781,0.238037295,76.25637266,ambient,C.canadensis
92,176.2563727,0.396551272,106.3616839,ambient,C.canadensis
93,206.3616839,0.96918938,6.358131345,ambient,C.canadensis
94,106.3581313,0.962168521,4.023685377,ambient,C.canadensis
95,104.0236854,0.999983517,0.001714579,ambient,C.canadensis
96,100.0017146,0.997718861,0.228117831,ambient,C.canadensis
97,100.2281178,0.999926451,0.007371641,ambient,C.canadensis
98,100.0073716,0.930340746,6.966438952,ambient,C.canadensis
99,106.966439,0.99558473,0.472285669,ambient,C.canadensis
100,100.4722857,0.999871094,0.012951498,ambient,C.canadensis
1,100,0.726477649,27.35223509,Cc,C.canadensis
2,127.3522351,0.199892901,101.8954274,Cc,C.canadensis
3,201.8954274,0.687683154,63.05534303,Cc,C.canadensis
4,163.055343,0.198544962,130.6815261,Cc,C.canadensis
5,230.6815261,0.352287066,149.4154081,Cc,C.canadensis
6,249.4154081,0.265394178,183.2220109,Cc,C.canadensis
7,283.2220109,0.198293147,227.0610272,Cc,C.canadensis
8,327.0610272,0.927615654,23.67409858,Cc,C.canadensis
9,123.6740986,0.374219932,77.39278579,Cc,C.canadensis
10,177.3927858,0.486168541,91.14999388,Cc,C.canadensis
11,191.1499939,0.277686719,138.0701792,Cc,C.canadensis
12,238.0701792,0.787228911,50.65445133,Cc,C.canadensis
13,150.6544513,0.494510064,76.15430892,Cc,C.canadensis
14,176.1543089,0.170227048,146.1680809,Cc,C.canadensis
15,246.1680809,0.355236871,158.7201021,Cc,C.canadensis
16,258.7201021,0.177086879,212.9041668,Cc,C.canadensis
17,312.9041668,0.412255739,183.9076284,Cc,C.canadensis
18,283.9076284,0.176351331,233.8401402,Cc,C.canadensis
19,333.8401402,0.421425715,193.1513205,Cc,C.canadensis
20,293.1513205,0.219913556,228.6833713,Cc,C.canadensis
